# Интегральный pull (cube, окно=all)
# пар всего: 13058

| вопрос | поляр. | ось | pull, мм | 95% CI | p (t) | p (Wilc.) | n |
| programmer | neg | race | **+1.0** | [-3.4, +5.4] | 0.65 | 0.26 | 99 |
| programmer | pos | gender | **+3.0** | [-6.9, +12.9] | 0.55 | 0.13 | 100 |
| programmer | pos | race | **+8.9** | [-3.3, +21.2] | 0.15 | 0.75 | 99 |
| restaurant_manager | neg | gender | **-5.2** | [-15.4, +5.0] | 0.31 | 0.28 | 99 |
| restaurant_manager | neg | race | **-0.0** | [-13.3, +13.2] | 1 | 0.4 | 99 |
| restaurant_manager | pos | gender | **+4.2** | [-6.5, +15.0] | 0.44 | 0.11 | 99 |
| restaurant_manager | pos | race | **-9.6** | [-21.4, +2.1] | 0.11 | 0.025 | 100 |
| science_student | neg | gender | **-14.5**** | [-24.9, -4.1] | 0.0067 | 5.5e-05 | 99 |
| science_student | neg | race | **+5.3** | [-4.9, +15.6] | 0.31 | 0.088 | 99 |
| science_student | pos | gender | **-8.6** | [-21.9, +4.8] | 0.21 | 0.044 | 100 |
| science_student | pos | race | **+5.2** | [-6.8, +17.1] | 0.39 | 0.21 | 95 |
| skier | neg | gender | **+5.6** | [-2.5, +13.7] | 0.17 | 0.0078 | 100 |
| skier | neg | race | **+1.0** | [-4.8, +6.9] | 0.73 | 0.31 | 100 |
| skier | pos | gender | **-8.7** | [-17.4, +0.0] | 0.051 | 0.095 | 100 |
| skier | pos | race | **+3.1** | [-6.6, +12.7] | 0.53 | 0.67 | 100 |
| smoking_tobacco | neg | gender | **+2.8** | [-7.8, +13.5] | 0.6 | 0.38 | 99 |
| smoking_tobacco | neg | race | **-3.7** | [-13.5, +6.1] | 0.46 | 0.13 | 96 |
| smoking_tobacco | pos | gender | **+2.5** | [-7.5, +12.5] | 0.62 | 0.72 | 100 |
| smoking_tobacco | pos | race | **-1.3** | [-7.6, +4.9] | 0.67 | 0.9 | 100 |
| suburbs | neg | gender | **-11.6**** | [-19.2, -3.9] | 0.0036 | 0.00042 | 99 |
| suburbs | neg | race | **-3.7** | [-14.0, +6.7] | 0.48 | 0.19 | 99 |
